CustomerID,FirstName,LastName,Email,Address,City,PostalCode,RegistrationDate,LastLoginDate,CustomerSegment,DateOfBirth,Phone
C00048,Justin,Taylor,justintaylor@yahoo.com,900 Kevin Island Suite 097,Calabar,644894,9/11/2024,5/14/2025 19:24,Standard,4/22/1942,-5314
C00049,David,Merritt,dmerritt@yahoo.com,"634 Ritter Orchard Apt. 388, Enugu",Enugu,775369,1/10/2024,6/4/2024 9:21,Platinum,1/1/1900,700-569-5978
C00050,Kim,Cortez,kim.cortez@outlook.com,22053 Johnson Prairie Suite 914,Lagos,988094,4/28/2024,11/9/2024 7:21,,,8119944783
C00051,Nicole,Sullivan,nicole.sullivan@hotmail.com,3449 Gray Lane,Lagos,689965,12/18/2023,6/21/2024 0:39,Bronze,1/1/1900,8113242166
C00052,Elizabeth,Hicks,elizabeth.hicks@engineer.com,693 Hampton Rue Suite 876,Lagos,466628,10/20/2023,7/11/2024 12:21,Bronze,5/19/1992,9194844448
C00053,Nathan,Williams,nwilliams@beta.ng,497 Angela Lights,Abuja,517944,3/7/2025,4/24/2025 22:17,,11/22/1976,9173875965
C00054,James,Wong,wong.j@yahoo.com,5763 Morgan Villages Suite 070,Abuja,861118,10/7/2024,1/25/2025 1:58,,2/25/1944,9175912380
C00055,Lisa,Rich,lisa_rich@yahoo.com,8874 Jerry Vista Apt. 701,Jos,366307,4/25/2025,5/14/2025 6:16,Standard,6/12/2001,7006485362
C00056,Ashley,Hamilton,ashley.hamilton@yahoo.com,1662 Porter Plaza Suite 677,Abuja,683960,12/24/2023,,,11/28/1969,9194674328
C00057,Amy,Patel,apatel@outlook.com,"313 Ramirez Gardens, Lagos",Lagos,295153,2/29/2024,3/5/2024 20:52,,1/19/1969,9018982954
C00058,Troy,Jones,troy.jones@outlook.com,"1465 Kristy Pass Suite 334, Lagos",Lagos,206311,12/11/2024,,Silver,3/21/1972,7118870929
C00059,Alison,Benson,abenson@yahoo.com,7946 Timothy Squares Suite 211,Owerri,376159,3/21/2024,,Platinum,4/11/1987,7052201747
C00060,Ariana,Rodriguez,ariana.rodriguez@outlook.com,8530 Good Green Apt. 899,Abuja,,9/27/2024,1/24/2025 16:49,VIP,4/22/1985,7029079888
C00061,Robert,Wallace,robert.wallace@aol.com,"847 Sloan Crest, Rivers",Port Harcourt,642789,4/29/2024,1/7/2025 7:07,Silver,5/19/1956,9118430000
C00062,Patricia,Gordon,patricia.gordon@aol.com,"64871 Margaret Knolls Suite 888, Rivers",Port Harcourt,892796,6/29/2024,3/5/2025 2:08,standard,5/2/1956,7122090929
C00063,William,Buckley,williambuckley@aol.com,564 Courtney Mission,Port Harcourt,303967,3/5/2025,4/21/2025 13:31,Bronze,1/17/1960,8187001680
C00064,Patricia,Moody,patricia.moody@mail.com,"559 Sandra Course Apt. 322, Rivers (old)",Port Harcourt,756890,9/16/2023,9/26/2023 8:21,Standard,3/26/2006,7091057310
C00065,Matthew,Goodwin,matthew.goodwin@hotmail.com,77239 Kimberly Spring Suite 272,Abuja,666887,7/9/2024,3/27/2025 3:12,Bronze,9/5/1986,
C00066,Austin,Rodriguez,austinrodriguez@hotmail.com,4652 Walter Drives,Abuja,418528,5/29/2024,1/30/2025 4:02,,3/8/1945,9125621965
C00067,Katherine,Torres,katherine.torres@yahoo.com,"1521 Jimenez Mountains Suite 448, Rivers",Port Harcourt,769570,8/24/2024,12/4/2024 16:30,Bronze,1/1/1900,9055128285
C00068,James,Joseph,jjoseph@hotmail.com,"182 Alexander Harbors Apt. 869, Lagos",Lagos,444128,1/26/2024,2/20/2025 10:52,VIP,1/1/1900,9137459543
C00069,Kathleen,Bond,kathleen.bond@mail.com,"69849 Ibarra Tunnel, Lagos",Lagos,218081,5/14/2024,2/19/2025 16:29,Standard,,8112027032
C00070,Rodney,Stevens,rodney.stevens@beta.ng,"754 Reed Ports Suite 964, Lagos",Lagos,,1/29/2025,5/11/2025 6:18,,9/27/1935,8229603892
C00071,Tony,Burke,tony.burke@gmail.com,"96544 Phillip Plain, FCT",Abuja,751443,12/15/2023,3/18/2024 18:30,,8/18/1997,7094894637
C00072,Christina,Johnson,christina.johnson@mail.com,01039 Harrison Shore,Lagos,953964,10/4/2024,3/19/2025 6:04,New,11/20/1950,8149966137
C00073,Scott,Gonzalez,scott.gonzalez@beta.ng,4721 Coleman Junction,Port Harcourt,702191,11/2/2024,12/15/2024 23:14,standard,5/25/1962,8096051251
C00074,David,Snow,dsnow@gmail.com,"908 Michael Tunnel, Rivers",Port Harcourt,443039,5/14/2024,11/22/2024 5:59,,11/4/1935,7098549546
C00075,Ryan,Moreno,ryanmoreno@techie.com,818 Margaret Island Apt. 009,Jos,627068,4/21/2025,,,9/22/1989,9164368738
C00076,Mary,Long,mary.long@hotmail.com,535 Black Valleys,Lagos,597054,6/9/2024,8/25/2024 17:35,,10/27/1950,9010719583
C00077,Brian,Schneider,brian.schneider@aol.com,"1825 May Ridges Apt. 173, Rivers",Port Harcourt,564606,10/9/2024,,VIP,6/24/1951,7173875631
C00078,Tina,Moore,tina_moore@gmail.com,"3291 Williams Meadows Apt. 696, Enugu",Enugu,451526,3/20/2024,,Silver,6/6/1994,9172366440
C00079,Bob,Padilla,bob.padilla@gmail.com,63355 Trevino Club,Abuja,176577,2/2/2025,4/29/2025 5:38,Bronze,,8004868474
C00080,Judy,Morrison,morrison.j@aol.com,354 Lopez Passage Apt. 527,Port Harcourt,755566,10/28/2024,,VIP,8/10/1972,7158128442
C00081,Emily,Williams,emily.williams@yahoo.com,"0090 Moody Island Apt. 107, Edo",Benin City,913860,6/21/2024,11/29/2024 11:41,New,6/26/1973,9087382420
C00082,John,Miller,miller.j@mail.com,299 Sarah Views,Abuja,665513,11/20/2024,2/4/2025 7:16,Bronze,11/27/1956,7187891658
C00083,Lauren,White,laurenwhite@aol.com,2699 Brian Mountain,Port Harcourt,947161,11/8/2024,,standard,11/25/2001,9073977221
C00084,Jose,Allen,jose.allen@hotmail.com,"0991 Wallace Points Suite 013, Rivers",Port Harcourt,727118,3/5/2024,12/21/2024 3:30,Gold,8/30/1973,9162031996
C00085,Anthony,Williamson,anthonywilliamson@yahoo.com,11573 Tanya Villages Suite 289,Lagos,811815,2/1/2025,3/28/2025 7:34,Standard,12/5/2001,7118721035
C00086,Jeffrey,Jones,jeffreyjones@outlook.com,7742 Stewart Roads,Warri,429368,11/20/2024,12/26/2024 17:42,Gold,1/1/1900,9153815949
C00087,Michael,Morris,michaelmorris@outlook.com,1832 Donald Extensions,Lagos,420190,1/20/2025,2/15/2025 22:36,New,4/25/2005,8036578415
C00088,Dylan,Adkins,dylan.adkins@iwantthis.com.ng,"336 Carpenter Greens Suite 076, FCT",Abuja,937841,11/23/2024,2/27/2025 11:47,Silver,2/3/1964,7156630200
C00089,Donna,Reeves,donnareeves@hotmail.com,75492 Moore Route,Port Harcourt,553312,2/2/2024,5/29/2024 4:24,Bronze,8/1/1999,8071624940
C00090,Jacob,Hughes,jacob_hughes@aol.com,386 James Forge,Abuja,560366,11/2/2023,2/22/2024 21:51,standard,1/1/1900,8222501369
C00091,Brian,Jackson,brian.jackson@yahoo.com,"8692 Timothy Mountains, Rivers",Port Harcourt,968602,6/3/2024,2/21/2025 7:08,VIP,1/1/1900,8129187740
C00092,Cindy,Martinez,cmartinez@yahoo.com,"476 Oliver Points, Lagos",Lagos,735808,2/7/2025,4/17/2025 2:27,Silver,2/2/1966,-2500
C00093,Robert,Brewer,robert.brewer@mail.com,69735 Bates Bypass Suite 483,Calabar,510885,4/17/2024,2/8/2025 3:15,Standard,,9132616060
C00094,Lisa,Austin,lisaaustin@consultant.com,"293 David Underpass, Rivers",Port Harcourt,294846,2/4/2024,12/21/2024 13:08,New,4/15/1988,8144981877
C00095,Benjamin,Davis,bdavis@beta.ng,"9880 Richard Circles Suite 449, Enugu",Enugu,666762,4/9/2024,12/15/2024 6:13,standard,,9134305597
C00096,Rebecca,Strickland,strickland.r@gmail.com,"210 Le Terrace, Rivers",Port Harcourt,965465,7/13/2024,11/11/2024 9:33,Standard,6/10/2002,9019432948
C00097,Steven,Bell,stevenbell@mail.com,3419 Mason Causeway,Port Harcourt,619787,9/17/2024,10/22/2024 4:00,Standard,11/17/1977,8203428951
C00098,Dawn,Davis,,36435 DEBORAH ROW SUITE 812,Port Harcourt,454691,8/8/2024,2/13/2025 13:16,Gold,1/1/1900,7195028623
C00099,Jean,Jones,jean.jones@gmail.com,86394 Schroeder Junction Suite 322,Port Harcourt,450881,4/1/2025,5/4/2025 15:13,VIP,10/15/1983,8173014557
C00100,Barbara,Bailey,barbara_bailey@gmail.com,183 Megan Islands Suite 238,Port Harcourt,803433,12/25/2023,3/4/2024 23:42,Silver,7/13/1978,(488)394-8295x357
C00101,Ernest,Wilson,ernest.wilson@mail.com,"50058 Heidi Streets Apt. 664, Rivers",Port Harcourt,,12/11/2023,7/18/2024 3:52,Silver,2/9/2002,8106791577
C00102,Richard,Nelson,rnelson@yahoo.com,"78906 Alexandria Lake Suite 818, Lagos",Lagos,484822,2/7/2025,4/18/2025 15:56,,9/12/1976,9066398617
C00103,Suzanne,Delgado,suzanne.delgado@hotmail.com,"0541 Barron Spring, Rivers",Port Harcourt,257009,5/11/2025,5/15/2025 20:48,standard,10/17/1991,9040763533
C00104,Elizabeth,Shepherd,elizabeth.shepherd@yahoo.com,1809 Soto Canyon Apt. 034,Lagos,202974,11/6/2023,7/4/2024 22:54,Bronze,10/14/1978,8282761498
C00105,Rickey,Carr,rcarr@outlook.com,869 Williams Ford Suite 122 ,Lagos,,9/7/2024,4/17/2025 22:18,VIP,10/15/1964,8112166348
C00106,Christopher,Meyers,christopher.meyers@beta.ng,386 Stephen Crescent,Lagos,846401,9/6/2024,10/19/2024 23:39,Platinum,3/26/1961,9119794758
C00107,Christopher,May,christopher.may@yahoo.com,679 Soto Trail,Port Harcourt,507961,3/17/2024,,Silver,10/15/2000,8059705107
C00108,Richard,Turner,richardturner@yahoo.com,7735 Erin Glen Apt. 505,Benin City,295698,1/30/2025,,Gold,8/29/1973,(776)699-9106x2344
C00109,Terri,Parrish,terri.parrish@aol.com,3040 Hughes Rapids Suite 674,Lagos,188959,2/12/2025,3/27/2025 0:37,,4/12/1959,8016249834
C00110,Caitlin,Goodwin,caitlin.goodwin@techie.com,"3968 Thomas Fields Apt. 699, Rivers",Port Harcourt,180580,2/4/2024,2/25/2024 2:32,standard,3/19/1974,9027983033
C00111,Kimberly,Russell,kimberly.russell@gmail.com,7575 Randall Corners Apt. 799 ,Abuja,915906,10/3/2023,5/4/2024 10:35,Silver,1/8/1947,9067398255
C00112,Kevin,Jones,kevin.jones@aol.com,35607 Mitchell Prairie,Port Harcourt,310012,10/11/2023,4/12/2024 6:57,Standard,3/18/1992,(379)653-6846x953
C00113,Jonathan,Davis,jonathan.davis@aol.com,0098 Harris Valley Suite 281,Port Harcourt,319864,1/16/2025,3/7/2025 14:28,New,3/21/1952,9183499662
C00114,Samantha,Perez,perez.s@gmail.com,"485 Black Locks, Rivers",Port Harcourt,873795,12/27/2024,3/17/2025 0:51,,10/24/2004,8284406450
C00115,Autumn,Rowe,autumn.rowe@mail.ng,"29292 House Forges Suite 466, FCT",Abuja,909265,6/15/2024,,,1/21/1973,8127013384
C00116,Ann,Jones,annjones@aol.com,1784 Edwards Bridge Apt. 638,Port Harcourt,949336,5/7/2025,5/13/2025 20:05,Gold,8/15/1989,9183900335
C00117,James,Hernandez,,"410 Lori Bypass, Rivers",Port Harcourt,727058,1/28/2024,8/16/2024 22:21,Bronze,4/19/1958,9167859350
C00118,Rebecca,Anderson,rebecca.anderson@workmail.com,3868 Wilson Square Apt. 763,Lagos,318367,4/11/2025,5/7/2025 20:48,VIP,7/14/1973,
C00119,David,Davis,david.davis@outlook.com,20213 Crystal Parkways,Lagos,876712,12/2/2024,3/20/2025 0:33,Silver,8/29/1966,8059448242
C00120,Jay,Ward,jay.ward@mail.com,"0584 James Neck, Rivers",Port Harcourt,232834,3/10/2024,11/17/2024 6:14,BRONZE,11/9/1961,8169009065
C00121,Heather,Hendricks,heather.hendricks@aol.com,2188 Benjamin Mountains Suite 252,Abuja,179594,3/19/2025,4/9/2025 20:13,Bronze,1/1/1900,9135919017
C00122,Brian,Franklin,bfranklin@aol.com,9200 Cervantes Shoal Suite 698,Enugu,827647,7/24/2024,,Standard,3/11/1992,9040045920
C00123,Morgan,Rodriguez,mrodriguez@yahoo.com,"39044 Kristen Union, Rivers",Port Harcourt,207853,2/22/2025,,VIP,1/1/1900,8013736573
C00124,Mackenzie,Edwards,mackenzie.edwards@mail.com,630 Ryan Isle Suite 317,Calabar,712511,12/11/2024,,New,3/28/2001,477-212-1205
C00125,Steven,Ball,ball.s@iwantthis.com.ng,"59914 Hensley St.s, Kaduna",Kaduna,459761,10/3/2023,10/21/2023 22:35,SILVER,12/20/1962,9158397595
C00126,Mark,Young,mark.young@mail.com,"96814 Holly Highway Suite 347, Rivers",Port Harcourt,577547,3/25/2025,,,8/20/1937,8135560961
C00127,Karen,White,karen.white@gmail.com,41279 Berry Flat Suite 534,Lagos,245311,11/23/2024,5/16/2025 7:31,Silver,8/17/1969,-2219
C00128,Angela,Taylor,angelataylor@hotmail.com,"824 Duane Harbors Suite 330, Edo",Benin City,836953,10/29/2024,4/4/2025 7:05,standard,9/6/1937,7197898773
C00129,Paul,Williams,paulwilliams@aol.com,"393 Patel Parkway, FCT (old)",Abuja,826525,11/14/2024,12/4/2024 21:11,standard,1/1/1900,8228760366
C00130,Leah,Estes,estes.l@gmail.com,"11988 Jonathan Turnpike, Rivers",Port Harcourt,733001,9/11/2024,3/30/2025 4:52,Bronze,5/13/1955,8171165009
C00131,Samantha,Reyes,reyes.s@aol.com,893 Grace Curve,Port Harcourt,653650,5/5/2024,,Silver,,9107876094
C00132,Erik,Franco,efranco@yahoo.com,411 Ryan Road,Port Harcourt,825270,10/3/2024,,Silver,,8220897717
C00133,David,Williams,williams.d@gmail.com,65038 Silva Brook,Lagos,962421,7/11/2024,,Platinum,3/26/1980,8244219997
C00134,Robert,Sparks,,585 Sandy Spring,Port Harcourt,517140,8/7/2024,9/3/2024 13:10,Gold,1/1/1900,-2587
C00135,Leslie,Mora,mora.l@gmail.com,"970 Burnett Freeway Suite 359, FCT",Abuja,367636,5/20/2025,5/23/2025 0:40,New,3/20/1954,8232176758
C00136,Jennifer,Taylor,jennifer.taylor@mail.com,0151 Miller Ford Suite 635,Benin City,724725,11/19/2024,3/5/2025 2:47,Bronze,3/12/2004,8228338280
C00137,Ernest,Horne,ehorne@aol.com,463 Hines Manor Suite 160,Benin City,628156,11/13/2023,12/17/2023 9:38,Bronze,5/7/1953,9081150567
C00138,Corey,Sawyer,sawyer.c@outlook.com,383 Jones Plaza,Enugu,196370,12/5/2024,1/26/2025 3:09,Gold,10/5/2002,9094191877
C00139,James,Thomas,james.thomas@gmail.com,193 James Junction Apt. 436,Port Harcourt,543843,12/4/2023,10/9/2024 1:20,Bronze,3/30/2004,8152780833
C00140,Alexander,Smith,asmith@mail.com,82218 Michelle Island Suite 126,Port Harcourt,684911,3/23/2024,11/25/2024 23:24,standard,1/1/1900,8275821435
C00141,Charles,Harrell,charrell@gmail.com,581 Glover Mountains,Port Harcourt,642574,9/18/2024,4/5/2025 21:58,Gold,12/24/1964,9046393935
C00142,Laurie,Reese,lauriereese@outlook.com,18653 Lisa Well,Port Harcourt,569101,5/16/2024,,Gold,4/29/1954,8237504734
C00143,James,Byrd,byrd.j@outlook.com,591 Tracy Lights,Port Harcourt,,9/15/2023,,Standard,9/15/1970,8260802977
C00144,Juan,Miller,juan_miller@techie.com,280 David Crossing,Port Harcourt,167934,8/24/2024,,Silver,3/23/1995,8168244780
C00145,Amanda,Hutchinson,hutchinson.a@outlook.com,"211 Barrett Glen Apt. 485, Edo",Benin City,437418,2/19/2024,12/6/2024 16:01,Bronze,1/1/1900,7021368198
C00146,Elizabeth,Everett,elizabeth.everett@aol.com,"08636 Jordan Spur, Lagos",Lagos,606496,10/23/2024,1/9/2025 21:29,Silver,8/7/1946,7027683438
C00147,Patricia,Jenkins,patricia.jenkins@engineer.com,8713 Susan Turnpike Suite 675,Port Harcourt,239016,3/15/2025,,Gold,3/29/1990,9072256437
C00148,Amber,Spears,amber.spears@hotmail.com,"86780 Denise Trail Suite 269, FCT",Abuja,197566,1/28/2025,5/15/2025 18:59,Bronze,2/3/1964,8268678794
C00149,Kimberly,Petersen,kimberly_petersen@yahoo.com,5294 John Freeway Apt. 067,Lagos,435661,1/15/2024,5/16/2024 9:01,Regular,4/5/1970,7116773109
C00150,Matthew,Castillo,matthewcastillo@yahoo.com,387 Mark Vista Suite 066,Lagos,455173,9/1/2023,6/5/2024 16:52,Standard,,8011775199
C00151,Kristin,Hutchinson,hutchinson.k@mail.com,"5067 Charles River, Enugu",Enugu,,9/13/2023,10/20/2024 0:16,VIP,5/3/1954,8134514341
C00152,Andrew,Wagner,andrew.wagner@aol.com,244 Keith Estate Suite 376,Jos,669917,10/7/2023,6/22/2024 3:28,Platinum_v2,2/28/1959,9088463755
C00153,Jessica,Lane,jessica.lane@gmail.com,9853 Andrea Groves Apt. 907,Lagos,531581,5/9/2024,9/22/2024 11:53,VIP,8/24/1977,8134351294
C00154,Carlos,Chambers,cchambers@consultant.com,133 Morris Harbor Suite 528,Kaduna,832790,12/28/2024,4/3/2025 18:51,VIP,11/16/1975,9080525652
C00155,Alexander,Daniels,alexander.daniels@engineer.com,211 Smith Shores,Port Harcourt,595042,9/20/2024,5/14/2025 2:46,Bronze,,9060986799
C00156,Jerry,Rice,jrice@aol.com,"795 Danielle Viaduct, Rivers",Port Harcourt,,12/17/2023,7/19/2024 1:59,Bronze,5/7/1965,8285982335
C00157,Joseph,Taylor,taylor.j@beta.ng,044 Thomas Rapids Suite 081,Lagos,243754,2/10/2024,,Silver,1/21/1993,9094821537
C00158,Mark,Lee,mark.lee@aol.com,493 Barnett Burg Apt. 389,Port Harcourt,247567,12/17/2024,3/30/2025 8:37,,9/1/1963,9087995132
C00159,Steven,Adams,steven.adams@mail.com,967 Brenda Cape Apt. 274,Port Harcourt,108829,5/16/2025,,New (old),,8086472770
C00160,Candace,Park,candace.park@yahoo.com,"06006 Davies Road, Rivers",Port Harcourt,691406,7/2/2024,3/23/2025 1:39,New,2/4/1951,8223355060
C00161,Gloria,Williams,gloriawilliams@aol.com,5916 Newman Islands Suite 667_v2,Port Harcourt,603531,2/18/2024,9/1/2024 15:19,VIP,1/1/1900,9149589210
C00162,Holly,Greene,hgreene@mail.ng,8920 Dudley Ports Apt. 321,Port Harcourt,500989,4/21/2024,9/2/2024 5:46,VIP,1/1/1900,7017230955
C00163,Spencer,Smith,spencersmith@yahoo.com,01059 Fischer Trail,Ibadan,735035,6/15/2024,11/1/2024 3:48,Platinum,1/1/1900,8082388776
C00164,Joseph,Mullen,jmullen@gmail.com,"5844 Sonia Run, FCT",Abuja,633725,11/17/2024,4/20/2025 20:30,Gold,2/15/1941,7179602595
C00165,Michael,Walton,michael.walton@beta.ng,"95489 Bishop Ranch, Rivers",Port Harcourt,140596,2/17/2024,4/12/2024 1:37,Platinum,9/30/1954,
C00166,Tina,Crawford,tina.crawford@yahoo.com,4577 Berry Island Suite 164,Lagos,223302,9/16/2023,10/15/2023 6:38,Silver ,10/23/1989,8063033251
C00167,Robert,Martin,robert.martin@hotmail.com,7970 Bryant Avenue Apt. 359,Port Harcourt,880780,2/5/2025,4/15/2025 11:43,Silver,4/19/1986,8267993088
C00168,Jacqueline,Mack,jacquelinemack@gmail.com,8769 Smith Crest,Port Harcourt,124499,10/5/2024,2/21/2025 4:14,Gold,9/10/1963,8063126632
C00169,Allison,Ortiz,aortiz@mail.com,"09807 Grace Underpass Suite 054, Edo",Benin City,877404,12/24/2024,4/23/2025 8:51,Silver,1/19/1971,8006854014
C00170,Oscar,Davidson,oscar.davidson@mail.com,4316 Maria Valleys Apt. 666,Uyo,411261,11/18/2024,12/25/2024 21:54,Standard,8/23/1937,8226942547
